Rowid_;FID;FREQUENCY;CUMUN;NMUN;N_SECCIONES
;0;1;18015;Alicún de Ortega;1
;0;1;18016;Almegíjar;1
;0;15;18017;Almuñécar;15
;0;1;18018;Alquife;1
;0;1;18020;Arenas del Rey;1
;0;14;18021;Armilla;14
;0;11;18022;Atarfe;11
;0;15;18023;Baza;15
;0;1;18024;Beas de Granada;1
;0;1;18025;Beas de Guadix;1
;0;2;18027;Benalúa;2
;0;1;18028;Benalúa de las Villas;1
;0;2;18029;Benamaurel;2
;0;1;18030;Bérchules;1
;0;1;18032;Bubión;1
;0;1;18033;Busquístar;1
;0;1;18034;Cacín;1
;0;1;18035;Cádiar;1
;0;3;18036;Cájar;3
;0;1;18037;Calicasas;1
;0;1;18038;Campotéjar;1
;0;4;18039;Caniles;4
;0;1;18040;Cáñar;1
;0;1;18042;Capileira;1
;0;1;18043;Carataunas;1
;0;1;18044;Cástaras;1
;0;1;18045;Castilléjar;1
;0;3;18046;Castril;3
;0;5;18047;Cenes de la Vega;5
;0;2;18048;Cijuela;2
;0;1;18049;Cogollos de Guadix;1
;0;2;18050;Cogollos de la Vega;2
;0;2;18051;Colomera;2
;0;1;18053;Cortes de Baza;1
;0;1;18054;Cortes y Graena;1
;0;3;18056;Cúllar;3
;0;4;18057;Cúllar Vega;4
;0;3;18059;Chauchina;3
;0;1;18061;Chimeneas;1
;0;8;18062;Churriana de la Vega;8
;0;1;18063;Darro;1
;0;1;18064;Dehesas de Guadix;1
;0;1;18065;Dehesas Viejas;1
;0;2;18066;Deifontes;2
;0;1;18067;Diezma;1
;0;1;18068;Dílar;1
;0;1;18069;Dólar;1
;0;1;18070;Dúdar;1
;0;5;18071;Dúrcal;5
;0;1;18072;Escúzar;1
;0;1;18074;Ferreira;1
;0;1;18076;Fonelas;1
;0;1;18078;Freila;1
;0;3;18079;Fuente Vaqueros;3
;0;1;18082;Galera;1
;0;1;18083;Gobernador;1
;0;3;18084;Gójar;3
;0;1;18085;Gor;1
;0;1;18086;Gorafe;1
;0;183;18087;Granada;183
;0;2;18088;Guadahortuna;2
;0;15;18089;Guadix;15
;0;2;18093;Gualchos;2
;0;3;18094;Güejar Sierra;3
;0;1;18095;Güevéjar;1
;0;1;18096;Huélago;1
;0;1;18097;Huéneja;1
;0;6;18098;Huéscar;6
;0;1;18099;Huétor de Santillán;1
;0;7;18100;Huétor Tájar;7
;0;6;18101;Huétor Vega;6
;0;6;18102;Illora;6
;0;1;18103;Itrabo;1
;0;3;18105;Iznalloz;3
;0;1;18106;Játar;1
;0;1;18107;Jayena;1
;0;1;18108;Jerez del Marquesado;1
;0;1;18109;Jete;1
;0;2;18111;Jun;2
;0;1;18112;Juviles;1
;0;1;18114;Calahorra, La;1
;0;2;18115;Láchar;2
;0;4;18116;Lanjarón;4
;0;1;18117;Lanteira;1
;0;2;18119;Lecrín;2
;0;1;18120;Lentegí;1
;0;1;18121;Lobras;1
;0;17;18122;Loja;17
;0;1;18123;Lugros;1
;0;1;18124;Lújar;1
;0;1;18126;Malahá, La;1
;0;12;18127;Maracena;12
;0;1;18128;Marchal;1
;0;3;18132;Moclín;3
;0;2;18133;Molvízar;2
;0;5;18134;Monachil;5
;0;5;18135;Montefrío;5
;0;2;18136;Montejícar;2
;0;1;18137;Montillana;1
;0;2;18138;Moraleda de Zafayona;2
;0;34;18140;Motril;34
